Chrom	Starts	Ends	genes
chr5	176630556	176630556	SNCB
chr5	176629500	176629500	MIR4281
chr5	176630618	176630618	EIF4E1B
chr5	176647387	176647387	TSPAN17
chr5	176726243	176726243	ENSG00000248484
chr5	176739458	176739458	ENSG00000251446
chr5	176743205	176743205	LINC01574
chr5	176810519	176810519	UNC5A
chr5	176899346	176899346	HK3
chr5	177022633	177022633	UIMC1
chr5	177022696	177022696	ZNF346
chr5	177051714	177051714	ENSG00000251666
chr5	177086905	177086905	FGFR4
chr5	177133025	177133025	NSD1
chr5	177260340	177260340	ENSG00000286634
chr5	177264766	177264766	RPL21P60
chr5	177266588	177266588	ENSG00000270706
chr5	177303744	177303744	RAB24
chr5	177312757	177312757	MXD3
chr5	177303799	177303799	PRELID1
chr5	177351668	177351668	LMAN2
chr5	177346073	177346073	RPS20P17
chr5	177357924	177357924	RGS14
chr5	177379235	177379235	SLC34A1
chr5	177400661	177400661	PFN3
chr5	177409564	177409564	F12
chr5	177403204	177403204	GRK6
chr5	177447699	177447699	ENSG00000246334
chr5	177446445	177446445	PRR7
chr5	177474401	177474401	DBN1
chr5	177479656	177479656	ENSG00000279821
chr5	177497606	177497606	PDLIM7
chr5	177494995	177494995	ENSG00000248996
chr5	177511274	177511274	DOK3
chr5	177516961	177516961	DDX41
chr5	177554563	177554563	FAM193B
chr5	177554824	177554824	ENSG00000272459
chr5	177592203	177592203	TMED9
chr5	177600132	177600132	B4GALT7
chr5	177611240	177611240	ENSG00000247679
chr5	177672209	177672209	ENSG00000246596
chr5	177682294	177682294	ENSG00000249849
chr5	177783398	177783398	FAM153A
chr5	177782197	177782197	LOC124906529
chr5	177803344	177803344	ENSG00000248943
chr5	177809407	177809407	ENSG00000170089
chr5	177837646	177837646	OR1X5P
chr5	177871227	177871227	ENSG00000249186
chr5	177939622	177939622	ENSG00000250101
chr5	177950335	177950335	ENSG00000249684
chr5	177967004	177967004	ENSG00000280207
chr5	177971316	177971316	ENSG00000249129
chr5	177996242	177996242	PROP1
chr5	178006348	178006348	FAM153CP
chr5	178055604	178055604	RPL19P9
chr5	178113532	178113532	N4BP3
chr5	178130996	178130996	RMND5B
chr5	178153894	178153894	NHP2
chr5	178165702	178165702	LOC645853
chr5	178187371	178187371	GMCL2
chr5	178204533	178204533	HNRNPAB
chr5	178232802	178232802	PHYKPL
chr5	178590393	178590393	COL23A1
chr5	178344843	178344843	ENSG00000271681
chr5	178350867	178350867	ENSG00000253698
chr5	178377924	178377924	RN7SL646P
chr5	178443094	178443094	ENSG00000245688
chr5	178630615	178630615	CLK4
chr5	178619998	178619998	RN7SKP70
chr5	178693681	178693681	ENSG00000286713
chr5	178697695	178697695	MSANTD5
chr5	178729335	178729335	ENSG00000285978
chr5	178730659	178730659	ZNF354A
chr5	178818435	178818435	ENSG00000250420
chr5	178825382	178825382	ENSG00000274813
chr5	178840097	178840097	LOC100129457
chr5	178842235	178842235	ENSG00000278441
chr5	178859953	178859953	ZNF354B
chr5	178884715	178884715	RNU1-39P
chr5	178895898	178895898	ZFP2
chr5	178910609	178910609	ENSG00000213328
chr5	178922064	178922064	ENSG00000253869
chr5	178939223	178939223	ENSG00000272431
chr5	178941191	178941191	ZNF454
chr5	178969390	178969390	ENSG00000254035
chr5	178996206	178996206	GRM6
chr5	178998815	178998815	LOC100288803
chr5	179023804	179023804	ZNF879
chr5	179060373	179060373	ZNF354C
chr5	179083194	179083194	ENSG00000253144
chr5	179345461	179345461	ADAMTS2
chr5	179377505	179377505	ENSG00000253979
chr5	179378761	179378761	ENSG00000253163
chr5	179385992	179385992	ENSG00000253617
chr5	179455415	179455415	ENSG00000250674
chr5	179492157	179492157	ENSG00000274716
chr5	179515579	179515579	ENSG00000253652
chr5	179522457	179522457	LOC100289470
chr5	179527513	179527513	ENSG00000253520
chr5	179550554	179550554	RUFY1
chr5	179572156	179572156	ENSG00000249140
chr5	179603741	179603741	RUFY1-AS1
chr5	179634784	179634784	HNRNPH1
chr5	179629151	179629151	ENSG00000273549
chr5	179645046	179645046	C5orf60
chr5	179651284	179651284	ENSG00000228259
chr5	179657762	179657762	ENSG00000250999
chr5	179681034	179681034	CBY3
chr5	179678628	179678628	CANX
chr5	179679032	179679032	ENSG00000225051
chr5	179732822	179732822	MAML1
chr5	179793980	179793980	LTC4S
chr5	179806952	179806952	MGAT4B
chr5	179798346	179798346	MIR1229
chr5	179806398	179806398	SQSTM1
chr5	179862173	179862173	MRNIP
chr5	179845832	179845832	ENSG00000222448
chr5	179847130	179847130	ENSG00000252202
chr5	179859013	179859013	MRNIP-DT
chr5	179907897	179907897	TBC1D9B
chr5	180072113	180072113	RNF130
chr5	179934196	179934196	RPS15AP18
chr5	179940132	179940132	ENSG00000249876
chr5	179963615	179963615	ENSG00000249412
chr5	179974584	179974584	ENSG00000285865
chr5	180015397	180015397	MIR340
chr5	180081691	180081691	ENSG00000278965
chr5	180087038	180087038	ENSG00000253480
chr5	180209211	180209211	RASGEF1C
chr5	180227000	180227000	RPS8P7
chr5	180292099	180292099	MAPK9
chr5	180257680	180257680	ENSG00000253908
chr5	180293245	180293245	LOC124901151
chr5	180353336	180353336	GFPT2
chr5	180416949	180416949	ENSG00000250509
chr5	180444509	180444509	RNU6-525P
chr5	180494379	180494379	CNOT6
chr5	180534642	180534642	ENSG00000250749
chr5	180591499	180591499	SCGB3A1
chr5	180649624	180649624	FLT4
chr5	180672598	180672598	LOC100420514
chr5	180684766	180684766	ENSG00000248717
chr5	180693763	180693763	OR2AI1P
chr5	180729586	180729586	RNU1-17P
chr5	180740058	180740058	OR2Y1
chr5	180815652	180815652	MGAT1
chr5	180810401	180810401	ENSG00000280161
chr5	180831605	180831605	ZFP62
chr5	180830326	180830326	LINC00847
chr5	180835726	180835726	ENSG00000286128
chr5	180861285	180861285	ZFP62
chr5	180899077	180899077	BTNL8
chr5	180909838	180909838	ENSG00000222852
chr5	180945756	180945756	ENSG00000243664
chr5	180970762	180970762	ENSG00000249287
chr5	180967848	180967848	ENSG00000248761
chr5	180982273	180982273	ENSG00000231228
chr5	180988846	180988846	BTNL3
chr5	181007281	181007281	RNU6-1036P
chr5	181040225	181040225	BTNL9
chr5	181043484	181043484	MIR8089
chr5	181065086	181065086	RPL13P10
chr5	181100666	181100666	FOXO1B
chr5	181114106	181114106	LOC729707
chr5	181131169	181131169	OR2V1
chr5	181147586	181147586	OR2V2
chr5	181191852	181191852	LINC01962
chr5	181191875	181191875	ENSG00000250222
chr5	181205293	181205293	TRIM7
chr5	181195496	181195496	ENSG00000250900
chr5	181206120	181206120	ENSG00000248514
chr5	181217864	181217864	ENSG00000286644
chr5	181222499	181222499	TRIM41
chr5	181222633	181222633	MIR4638
chr5	181230685	181230685	ENSG00000247049
chr5	181248096	181248096	RACK1
chr5	181241892	181241892	SNORD96A
chr5	181243379	181243379	SNORD95
chr5	181246507	181246507	CTC-338M12.4
chr5	181261139	181261139	TRIM52
chr5	181261169	181261169	TRIM52-AS1
chr5	181276848	181276848	ENSG00000286310
chr5	181281375	181281375	ENSG00000248103
chr5	181291673	181291673	ENSG00000274525
chr5	181301967	181301967	RNU6-705P
chr5	181306502	181306502	ENSG00000238035
chr5	181331839	181331839	ENSG00000274553
chr5	181329241	181329241	ENSG00000250765
chr5	181367268	181367268	OR4F3
chr5	181379038	181379038	ENSG00000251035
chr5	181471963	181471963	RPL23AP45
chr6	95124	95124	ENSG00000271530
chr6	106856	106856	OR4F1P
chr6	145083	145083	ENSG00000217929
chr6	170631	170631	ANKRD18FP
chr6	205519	205519	LINC03066
chr6	184339	184339	ENSG00000285578
chr6	203313	203313	ENSG00000205653
chr6	292013	292013	ENSG00000287265
chr6	291630	291630	DUSP22
chr6	391752	391752	IRF4
chr6	453391	453391	ENSG00000286364
chr6	693139	693139	EXOC2
chr6	524171	524171	ENSG00000230433
chr6	656963	656963	HUS1B
chr6	670307	670307	MARK2P18
chr6	692530	692530	ENSG00000271727
chr6	711405	711405	ENSG00000272463
chr6	760936	760936	ENSG00000287293
chr6	761675	761675	ENSG00000271911
chr6	780214	780214	ENSG00000272485
chr6	909006	909006	ENSG00000276687
chr6	1101400	1101400	LINC01622
chr6	1027225	1027225	ENSG00000270937
chr6	1079929	1079929	ENSG00000176515
chr6	1111367	1111367	ENSG00000286324
chr6	1312098	1312098	FOXQ1
chr6	1324022	1324022	ENSG00000281809
chr6	1385066	1385066	ENSG00000261730
chr6	1389576	1389576	FOXF2
chr6	1390411	1390411	MIR6720
chr6	1507322	1507322	RN7SL352P
chr6	1515289	1515289	ENSG00000218027
chr6	1528911	1528911	ENSG00000272279
chr6	1601654	1601654	ENSG00000280916
chr6	1609915	1609915	FOXC1
chr6	2245605	2245605	GMDS
chr6	2227803	2227803	ENSG00000285603
chr6	2245718	2245718	GMDS-DT
chr6	2341450	2341450	ENSG00000236086
chr6	2386110	2386110	ENSG00000286512
chr6	2437549	2437549	ENSG00000272465
chr6	2528665	2528665	ENSG00000287903
chr6	2561947	2561947	ENSG00000280423
chr6	2617144	2617144	ENSG00000228718
chr6	2634619	2634619	LINC01600
chr6	2750922	2750922	MYLK4
chr6	2765393	2765393	WRNIP1
chr6	2841959	2841959	SERPINB1
chr6	2881407	2881407	ENSG00000230438
chr6	2854107	2854107	MIR4645
chr6	2903309	2903309	SERPINB9
chr6	2912113	2912113	ENSG00000232999
chr6	2916894	2916894	ENSG00000228365
chr6	2972165	2972165	SERPINB6
chr6	2987967	2987967	LINC01011
chr6	2987987	2987987	NQO2
chr6	2999604	2999604	ENSG00000224846
chr6	3023772	3023772	ENSG00000271361
chr6	3023472	3023472	ENSG00000288612
chr6	3033183	3033183	ENSG00000274855
chr6	3045384	3045384	ENSG00000232654
chr6	3048835	3048835	SERPINB8P1
chr6	3055849	3055849	ENSG00000229282
chr6	3063824	3063824	RIPK1
chr6	3068894	3068894	ENSG00000272277
chr6	3088809	3088809	RNA5SP201
chr6	3118374	3118374	BPHL
chr6	3153062	3153062	ENSG00000228170
chr6	3157544	3157544	TUBB2A
chr6	3179764	3179764	TUBB2BP1
chr6	3195784	3195784	LINC02525
chr6	3231730	3231730	TUBB2B
chr6	3231403	3231403	PSMG4
chr6	3457050	3457050	SLC22A23
chr6	3311662	3311662	ENSG00000272320
chr6	3720081	3720081	LOC100507336
chr6	3694075	3694075	ENSG00000270477
chr6	3751713	3751713	PXDC1
chr6	3751111	3751111	ENSG00000270504
chr6	3754099	3754099	ENSG00000219992
chr6	3831933	3831933	ENSG00000238158
chr6	3831936	3831936	ENSG00000233068
chr6	3849373	3849373	FAM50B
chr6	3911979	3911979	ENSG00000260604
chr6	3914292	3914292	RPS25P7
chr6	3921847	3921847	ENSG00000217135
chr6	3941282	3941282	ENSG00000217566
chr6	3978062	3978062	ENSG00000216657
chr6	3982673	3982673	ENSG00000279926
chr6	4018713	4018713	ENSG00000272248
chr6	4021215	4021215	ENSG00000230648
chr6	4021267	4021267	PRPF4B
chr6	4087344	4087344	FAM217A
chr6	4079209	4079209	TEX56P
chr6	4135597	4135597	ECI2
chr6	4135423	4135423	ENSG00000254821
chr6	4136072	4136072	ECI2-DT
chr6	4188950	4188950	ENSG00000237716
chr6	4189116	4189116	ENSG00000216307
chr6	4583871	4583871	ENSG00000285424
chr6	4347162	4347162	LOC101927888
chr6	4381211	4381211	ENSG00000287761
chr6	4427963	4427963	RNA5SP202
chr6	4449392	4449392	ENSG00000285694
chr6	4488798	4488798	ENSG00000260239
chr6	4529722	4529722	ENSG00000270695
chr6	4602420	4602420	ENSG00000260673
chr6	4610612	4610612	KU-MEL-3
chr6	4702463	4702463	PSMC1P11
chr6	4706159	4706159	CDYL
chr6	4724885	4724885	ENSG00000284823
chr6	4775408	4775408	CDYL-AS1
chr6	4979072	4979072	RPS18P8
chr6	5004063	5004063	RPP40
chr6	5003774	5003774	LYRM4-AS1
chr6	5054423	5054423	ENSG00000271978
chr6	5066982	5066982	LOC442155
chr6	5072601	5072601	ENSG00000288548
chr6	5085341	5085341	PPP1R3G
chr6	5260950	5260950	LYRM4
chr6	5148322	5148322	MIR3691
chr6	5261044	5261044	FARS2
chr6	5291388	5291388	ENSG00000220446
chr6	5458075	5458075	FARS2-AS1
chr6	5610195	5610195	ENSG00000218574
chr6	5695272	5695272	LOC101927950
chr6	5788699	5788699	RPL34P16
chr6	5818366	5818366	ENSG00000216360
chr6	5851506	5851506	ENSG00000233064
chr6	5918844	5918844	RN7SL221P
chr6	5972412	5972412	ENSG00000215057
chr6	6007605	6007605	NRN1
chr6	6321013	6321013	F13A1
chr6	6169435	6169435	MIR7853
chr6	6169334	6169334	MIR5683
chr6	6622771	6622771	LY86-AS1
chr6	6347381	6347381	SNAPC5P1
chr6	6450356	6450356	ENSG00000285717
chr6	6534697	6534697	ENSG00000218868
chr6	6588108	6588108	LY86
chr6	6683633	6683633	ENSG00000261211
chr6	6685148	6685148	ENSG00000279368
chr6	6739030	6739030	ENSG00000226281
chr6	6710891	6710891	ENSG00000287497
chr6	6725036	6725036	ENSG00000288046
chr6	6759291	6759291	ENSG00000224532
chr6	6795402	6795402	ENSG00000219986
chr6	6918715	6918715	ENSG00000223342
chr6	6938897	6938897	RN7SL554P
chr6	6993191	6993191	ENSG00000203498
chr6	7107597	7107597	RREB1
chr6	7183083	7183083	ENSG00000225092
chr6	7187686	7187686	ENSG00000201483
chr6	7232556	7232556	ENSG00000287002
chr6	7261993	7261993	ENSG00000285771
chr6	7347446	7347446	SSR1
chr6	7276031	7276031	ENSG00000238221
chr6	7389742	7389742	CAGE1
chr6	7331676	7331676	ENSG00000219375
chr6	7339568	7339568	RPS3P4
chr6	7342056	7342056	ENSG00000230570
chr6	7389793	7389793	RIOK1
chr6	7482594	7482594	HNRNPLP1
chr6	7506203	7506203	ENSG00000219993
chr6	7517840	7517840	ENSG00000234115
chr6	7541338	7541338	DSP-AS1
chr6	7541617	7541617	DSP
chr6	7590198	7590198	SNRNP48
chr6	7620422	7620422	RPL29P1
chr6	7726099	7726099	BMP6
chr6	7910788	7910788	TXNDC5
chr6	8064364	8064364	BLOC1S5-TXNDC5
chr6	7939322	7939322	ENSG00000217746
chr6	7986537	7986537	ENSG00000219294
chr6	8064396	8064396	BLOC1S5
chr6	8102530	8102530	ENSG00000265818
chr6	8102559	8102559	EEF1E1
chr6	8102711	8102711	ENSG00000232234
chr6	8158162	8158162	ENSG00000285216
chr6	8389183	8389183	ENSG00000234763
chr6	8435561	8435561	SLC35B3
chr6	8435568	8435568	LOC100506207
chr6	8653558	8653558	ENSG00000276019
chr6	9161777	9161777	ENSG00000225775
chr6	10211608	10211608	ENSG00000181355
chr6	10118452	10118452	RPL7AP36
chr6	10214362	10214362	RPL21P62
chr6	10222036	10222036	RNU6ATAC21P
chr6	10366582	10366582	ENSG00000216781
chr6	10419659	10419659	TFAP2A
chr6	10404502	10404502	TFAP2A-AS2
chr6	10409340	10409340	ENSG00000229950
chr6	10426176	10426176	ENSG00000228478
chr6	10426623	10426623	ENSG00000285759
chr6	10435015	10435015	ENSG00000183674
chr6	10434316	10434316	MIR5689HG
chr6	10439717	10439717	MIR5689
chr6	10460541	10460541	ENSG00000238076
chr6	10478502	10478502	ENSG00000231056
chr6	10492223	10492223	GCNT2
chr6	10514546	10514546	ENSG00000237685
chr6	10514282	10514282	LOC100422564
chr6	10575227	10575227	RPL21P63
chr6	10633762	10633762	GCNT2P1
chr6	10659498	10659498	ENSG00000285763
chr6	10694797	10694797	C6orf52
chr6	10674768	10674768	ENSG00000201048
chr6	10694972	10694972	PAK1IP1
chr6	10722915	10722915	TMEM14C
chr6	10747663	10747663	TMEM14B-DT
chr6	10747759	10747759	TMEM14B
chr6	10747794	10747794	ENSG00000272162
chr6	10752926	10752926	RNA5SP203
chr6	10838553	10838553	MAK
chr6	10882041	10882041	GCM2
chr6	10881780	10881780	ENSG00000235051
chr6	10886831	10886831	SYCP2L
chr6	11044305	11044305	ELOVL2
chr6	11015586	11015586	ENSG00000274541
chr6	11043482	11043482	ELOVL2-AS1
chr6	11093834	11093834	SMIM13
chr6	11111725	11111725	ERVFRD-1
chr6	11155150	11155150	ENSG00000271245
chr6	11173452	11173452	ENSG00000247925
chr6	11382348	11382348	NEDD9
chr6	11291299	11291299	ENSG00000287920
chr6	11414636	11414636	ENSG00000242753
chr6	11417207	11417207	ENSG00000233656
chr6	11503671	11503671	RNU1-64P
chr6	11514192	11514192	THAP12P5
chr6	11537749	11537749	TMEM170B
chr6	11607552	11607552	ENSG00000271897
chr6	11644067	11644067	ENSG00000277473
chr6	11709819	11709819	LOC124900221
chr6	11807046	11807046	ADTRP
chr6	11722547	11722547	ENSG00000287593
chr6	11810602	11810602	ENSG00000234427
chr6	11862970	11862970	ENSG00000215124
chr6	12001286	12001286	LOC101928253
chr6	12007670	12007670	ENSG00000229896
chr6	12008762	12008762	HIVEP1
chr6	12290361	12290361	EDN1
chr6	12319453	12319453	SUMO2P12
chr6	12406781	12406781	RN7SKP293
chr6	12514110	12514110	RPL15P3
chr6	12585404	12585404	LINC02530
chr6	12716554	12716554	PHACTR1
chr6	13214056	13214056	ENSG00000206702
chr6	13295586	13295586	LOC100130357
chr6	13328583	13328583	TBC1D7
chr6	13290490	13290490	ENSG00000272379
chr6	13487662	13487662	GFOD1
chr6	13486294	13486294	ENSG00000237786
chr6	13521266	13521266	RPS4XP7
chr6	13547704	13547704	RN7SKP204
chr6	13574227	13574227	SIRT5
chr6	13615155	13615155	ENSG00000261071
chr6	13615335	13615335	NOL7
chr6	13711835	13711835	RANBP9
chr6	13671720	13671720	ENSG00000286316
chr6	13814568	13814568	MCUR1
chr6	13825432	13825432	ENSG00000272209
chr6	13924446	13924446	RNF182
chr6	13949095	13949095	MRPL35P1
chr6	14004920	14004920	ENSG00000233981
chr6	14117256	14117256	CD83
chr6	14211186	14211186	ENSG00000285639
chr6	14156462	14156462	RNU7-133P
chr6	14210293	14210293	ENSG00000286281
chr6	14231570	14231570	ENSG00000230631
chr6	14285454	14285454	LINC01108
chr6	14393929	14393929	ENSG00000237346
chr6	14394326	14394326	ENSG00000234540
chr6	14431683	14431683	ENSG00000286277
chr6	14599690	14599690	ENSG00000229646
chr6	14646535	14646535	RNU6-793P
chr6	15090170	15090170	ENSG00000234261
chr6	15104130	15104130	RPL6P17
chr6	15112968	15112968	RN7SL332P
chr6	15245000	15245000	ENSG00000271888
chr6	15246069	15246069	JARID2
chr6	15248634	15248634	JARID2-AS1
chr6	15314920	15314920	RNU6-522P
chr6	15324472	15324472	RNU6-645P
chr6	15522300	15522300	ENSG00000277411
chr6	15663058	15663058	DTNBP1
chr6	15555780	15555780	ENSG00000287626
chr6	15934782	15934782	ENSG00000214027
chr6	15994944	15994944	ENSG00000232947
chr6	16041614	16041614	ENSG00000274212
chr6	16107622	16107622	ENSG00000217585
chr6	16129086	16129086	MYLIP
chr6	16141556	16141556	MIR4639
chr6	16160926	16160926	ENSG00000218073
chr6	16163762	16163762	ENSG00000217078
chr6	16171606	16171606	ENSG00000216364
chr6	16205014	16205014	RNU6-1114P
chr6	16232330	16232330	ENSG00000207193
chr6	16238587	16238587	GMPR
chr6	16264553	16264553	ENSG00000282024
chr6	16761491	16761491	ATXN1
chr6	16328431	16328431	LOC127903862
chr6	16761138	16761138	ENSG00000229931
chr6	16764346	16764346	ENSG00000272341
chr6	16952699	16952699	ENSG00000287347
chr6	17015817	17015817	ENSG00000286631
chr6	17108156	17108156	LOC101928463
chr6	17102050	17102050	STMND1
chr6	17281424	17281424	ENSG00000287559
chr6	17281361	17281361	RBM24
chr6	17381367	17381367	ENSG00000219314
chr6	17393505	17393505	CAP2
chr6	17531652	17531652	ENSG00000184612
chr6	17582034	17582034	SUMO2P13
chr6	17600191	17600191	ENSG00000286885
chr6	17600302	17600302	FAM8A1
chr6	17706925	17706925	NUP153
chr6	17619533	17619533	RNU6-190P
chr6	17706257	17706257	NUP153-AS1
chr6	17721903	17721903	RNA5SP204
chr6	17737556	17737556	ENSG00000201442
chr6	17987635	17987635	KIF13A
chr6	17953572	17953572	RPS12P12
chr6	18122677	18122677	NHLRC1
chr6	18155077	18155077	TPMT
chr6	18155329	18155329	KDM1B
chr6	18264548	18264548	DEK
chr6	18273266	18273266	ENSG00000199715
chr6	18305045	18305045	ENSG00000278102
chr6	18307079	18307079	RNU6-263P
chr6	18365423	18365423	DDX18P3
chr6	18368644	18368644	ENSG00000218976
chr6	18387350	18387350	RNF144B
chr6	18522735	18522735	ENSG00000283408
chr6	18571784	18571784	MIR548A1
chr6	19143695	19143695	RPL21P61
chr6	19321021	19321021	ENSG00000231662
chr6	19839080	19839080	LNC-LBCS
chr6	19348181	19348181	RPL5P20
chr6	19438283	19438283	RNA5SP205
chr6	19612755	19612755	KRT18P38
chr6	19638808	19638808	ENSG00000217314
chr6	19642529	19642529	RNU6-801P
chr6	19837370	19837370	ID4
chr6	19892397	19892397	ENSG00000287138
chr6	20042940	20042940	ENSG00000229700
chr6	20212469	20212469	MBOAT1
chr6	20212087	20212087	ENSG00000227803
chr6	20265720	20265720	ENSG00000287614
chr6	20321461	20321461	ENSG00000286590
chr6	20334411	20334411	ENSG00000287483
chr6	20401879	20401879	E2F3
chr6	20421887	20421887	ENSG00000240869
chr6	20437821	20437821	E2F3-IT1
chr6	20452473	20452473	RNU6-141P
chr6	20500175	20500175	ENSG00000201683
chr6	20534457	20534457	CDKAL1
chr6	20723655	20723655	ENSG00000225832
chr6	20800694	20800694	ENSG00000233848
chr6	20993568	20993568	RNU6-150P
chr6	21271132	21271132	ENSG00000287404
chr6	21355296	21355296	ENSG00000227089
chr6	21383200	21383200	ENSG00000286368
chr6	21521414	21521414	LINC00581
chr6	21523783	21523783	ENSG00000231754
chr6	21595593	21595593	ENSG00000283480
chr6	21593751	21593751	SOX4
chr6	21602128	21602128	BOLA2P3
chr6	21664185	21664185	ENSG00000272168
chr6	21822536	21822536	ENSG00000280443
chr6	22085544	22085544	ENSG00000222515
chr6	22147193	22147193	ENSG00000260455
chr6	22214237	22214237	ENSG00000219404
chr6	22302826	22302826	PRL
chr6	22569566	22569566	HDGFL1
chr6	22593833	22593833	ENSG00000228772
chr6	22663507	22663507	ENSG00000286954
chr6	23031780	23031780	ENSG00000233358
chr6	23102680	23102680	RPL6P18
chr6	23125087	23125087	RNU6-1060P
chr6	23337711	23337711	ENSG00000235743
chr6	23649496	23649496	ENSG00000219453
chr6	23854139	23854139	LOC100129616
chr6	23856818	23856818	ENSG00000218512
chr6	23971879	23971879	ENSG00000220748
chr6	24001824	24001824	ENSG00000219582
chr6	24126186	24126186	NRSN1
chr6	24166273	24166273	LOC124900220
chr6	24358059	24358059	DCDC2
chr6	24356903	24356903	KAAG1
chr6	24365651	24365651	RNU6-391P
chr6	24402908	24402908	MRS2
chr6	24495205	24495205	GPLD1
chr6	24494867	24494867	ALDH5A1
chr6	24646191	24646191	KIAA0319
chr6	24598012	24598012	KRT8P43
chr6	24666930	24666930	TDP2
chr6	24667035	24667035	ACOT13
chr6	24701793	24701793	ENSG00000272345
chr6	24719998	24719998	C6orf62
chr6	24706747	24706747	ENSG00000272402
chr6	24721658	24721658	LINC02828
chr6	24751625	24751625	ENSG00000218806
chr6	24774931	24774931	GMNN
chr6	24798917	24798917	ARMH2
chr6	24809798	24809798	ENSG00000282804
chr6	25042170	25042170	RIPOR2
chr6	24947880	24947880	MTCO2P33
chr6	24976419	24976419	ENSG00000214975
chr6	25012985	25012985	ENSG00000286633
chr6	25024483	25024483	ASS1P1
chr6	25031287	25031287	RN7SL334P
chr6	25041839	25041839	ENSG00000229313
chr6	25057073	25057073	ENSG00000223623
chr6	25452263	25452263	CMAHP
chr6	25061796	25061796	ENSG00000285801
chr6	25140003	25140003	ENSG00000219682
chr6	25152547	25152547	ENSG00000262400
chr6	25181359	25181359	ENSG00000217805
chr6	25218688	25218688	ENSG00000219681
chr6	25248263	25248263	KATNBL1P5
chr6	25261239	25261239	RPL21P68
chr6	25273751	25273751	ENSG00000213972
chr6	25279078	25279078	CARMIL1
chr6	25287533	25287533	ENSG00000207286
chr6	25383599	25383599	RNU6-987P
chr6	25640931	25640931	ENSG00000286933
chr6	25652201	25652201	SCGN
chr6	25679164	25679164	ENSG00000217408
chr6	25726562	25726562	H2AC1
chr6	25726777	25726777	H2BC1
chr6	25732091	25732091	H2BC2P
chr6	25732497	25732497	ENSG00000216436
chr6	25754699	25754699	SLC17A4
chr6	25832052	25832052	SLC17A1
chr6	25882286	25882286	SLC17A3
chr6	25882395	25882395	ENSG00000242387
chr6	25885419	25885419	H2BP5
chr6	25930691	25930691	SLC17A2
chr6	25962802	25962802	TRIM38
chr6	25999167	25999167	ENSG00000272558
chr6	25992641	25992641	ENSG00000272462
chr6	26013241	26013241	ENSG00000272810
chr6	26016379	26016379	ENSG00000224447
chr6	26017787	26017787	H1-1
chr6	26020451	26020451	H3C1
chr6	26021649	26021649	H4C1
chr6	26027283	26027283	H4C2
chr6	26032099	26032099	H3C2
chr6	26033618	26033618	H2AC4
chr6	26043713	26043713	H2BC3
chr6	26043989	26043989	ENSG00000234816
chr6	26045384	26045384	H3C3
chr6	26056470	26056470	H1-2
chr6	26087281	26087281	HFE
chr6	26103933	26103933	H4C3
chr6	26108135	26108135	H1-6
chr6	26123926	26123926	H2BC4
chr6	26124145	26124145	H2AC6
chr6	26156329	26156329	H1-4
chr6	26158146	26158146	H2BC5
chr6	26172802	26172802	ENSG00000283064
chr6	26164072	26164072	ENSG00000217159
chr6	26172059	26172059	H2BC6
chr6	26189112	26189112	H4C4
chr6	26195554	26195554	ENSG00000216331
chr6	26199293	26199293	ENSG00000282988
chr6	26197286	26197286	H3C4
chr6	26199293	26199293	H2AC7
chr6	26199520	26199520	H2BC7
chr6	26202156	26202156	RPS10P1
chr6	26204552	26204552	H4C5
chr6	26216692	26216692	H2BC8
chr6	26216975	26216975	H2AC8
chr6	26219045	26219045	H3C5P
chr6	26224199	26224199	H3C6
chr6	26233122	26233122	H2AC9P
chr6	26234987	26234987	H1-3
chr6	26240393	26240393	H4C6
chr6	26246996	26246996	H4C7
chr6	26250635	26250635	H3C7
chr6	26251651	26251651	H2BC9
chr6	26271815	26271815	H3C8
chr6	26272701	26272701	H2AC10P
chr6	26272931	26272931	H2BC10
chr6	26285638	26285638	H4C8
chr6	26322292	26322292	H3C9P
chr6	26331900	26331900	ENSG00000287050
chr6	26365159	26365159	BTN3A2
chr6	26383096	26383096	BTN2A2
chr6	26402237	26402237	BTN3A1
chr6	26421391	26421391	ENSG00000124549
chr6	26440472	26440472	BTN3A3
chr6	26457904	26457904	BTN2A1
chr6	26477872	26477872	BTN1A1P1
chr6	26500303	26500303	BTN1A1
chr6	26519458	26519458	RNU6-502P
chr6	26521709	26521709	HCG11
chr6	26538366	26538366	HMGN4
chr6	26569324	26569324	LOC105374988
chr6	26596953	26596953	ABT1
chr6	26602733	26602733	LOC105374989
chr6	26613109	26613109	ENSG00000271071
chr6	26659752	26659752	ZNF322
chr6	26677003	26677003	ENSG00000285571
chr6	26686241	26686241	ENSG00000261584
chr6	26956554	26956554	ENSG00000241549
chr6	26896952	26896952	ENSG00000243307
chr6	26956932	26956932	LINC00240
chr6	27001648	27001648	ENSG00000272312
chr6	27020280	27020280	ENSG00000287966
chr6	27034310	27034310	VN1R12P
chr6	27061249	27061249	VN1R13P
chr6	27083280	27083280	VN1R11P
chr6	27109980	27109980	RNU2-62P
chr6	27123221	27123221	ENSG00000272468
chr6	27132795	27132795	H2BC11
chr6	27133042	27133042	H2AC11
chr6	27138588	27138588	H4C9
chr6	27146855	27146855	H2BC12
chr6	27147106	27147106	H2AC12
chr6	27147626	27147626	MIR3143
chr6	27211244	27211244	RPL10P2
chr6	27247701	27247701	PRSS16
